1,2,3,4,5
1.484317357e6,297905.5289014929,519626.8177755769,794434.754373643,396597.5229492871
1.460120936e6,292418.42250974546,510055.8385337567,779802.1020874506,389292.61386904726
1.426346503e6,283623.9777544543,494715.9777424981,756349.6586743152,377584.6908287327
1.3769119319999998e6,280465.731379333,489207.15244574385,747927.4561978361,373380.16097708687
1.3325358509999998e6,276236.647345872,481830.50023483613,736649.6147031287,367750.03971616324
1.3304988250000002e6,277805.5739935473,484567.1273939929,740833.5244834278,369838.73012903193
1.37247079e6,284452.214651378,496160.6441261659,758558.3460330124,378687.3111894437
1.3629574640000002e6,294382.892974318,513482.3997657148,785040.821948581,391907.8863113862
1.384499971e6,309402.2355974543,539680.1452091103,825093.4111424203,411902.93005101464
1.4575873550000002e6,324993.5974635294,566875.6450077564,866671.4234072472,432659.49512146704
1.5510767600000002e6,339125.6788571618,591525.7698651128,904357.9230574468,451473.34022027894
1.6204925639999998e6,350134.76823286206,610728.5624416604,933716.2342184118,466129.5891070654
1.6489162230000002e6,352816.4027519186,615406.0493507243,940867.4397308513,469699.6121665058
1.648280275e6,348066.5945318579,607121.1150645581,928200.9654276047,463376.25797597936
1.649943139e6,348818.87916103605,608433.3004052021,930207.1083038516,464377.76412991027
1.6836834249999998e6,355327.96189864556,619786.8793805705,947565.0994929322,473043.216227852
1.8074945639999998e6,381614.8113984385,665638.1665496636,1.0176651305418031e6,508038.53651009453
1.933702186e6,412076.6880529121,718771.8162936075,1.0988988477775753e6,548592.012875905
1.8703178729999994e6,399881.82717209344,697500.7214734403,1.0663783996200743e6,532357.1627343922
1.7683393250000002e6,378227.14154103835,659729.1654171026,1.008631116701957e6,503528.5783399018
1.6776711429999995e6,359041.1325758979,626263.6408894722,957467.1373832922,477986.50915133837
1.586152023e6,338500.85824411386,590435.9158162946,902691.6927861099,450641.52515348163
1.5275756819999998e6,318857.9482416175,556173.4338338794,850309.2800106261,424491.18991387676
1.4372104099999995e6,301860.46812998346,526525.2882181174,804981.5246404936,401862.6790114057
1.362063372e6,289985.1841148717,505811.62081587827,773313.3029245343,386053.2771447156
1.2865889979999994e6,283411.9589001779,494346.16022698476,755784.2608213759,377302.4330514615
1.2703521979999999e6,281487.31512844947,490989.0673856982,750651.7481496978,374740.1813361544
1.2899049079999996e6,282627.7271001484,492978.25048677146,753692.9233435998,376258.3960694805
1.3103810419999997e6,290774.35845134075,507188.1516598731,775417.820831478,387103.89405730815
1.3907435430000008e6,312358.8179130875,544837.2145183946,832977.8292476047,415838.9873209134
1.572591855e6,358773.5506773884,625796.9065830312,956753.5676801683,477630.2810594119
1.7646049400000004e6,422194.352775138,736419.7261605937,1.1258799666513174e6,562061.5204129503
1.9026817729999996e6,458616.5305877277,799949.7332168589,1.223008220668603e6,610549.8635268107
1.9559306529999997e6,468402.50667890685,817019.0895119167,1.2491048142463367e6,623577.7985628397
2.0071639730000002e6,475514.68342605303,829424.6255360534,1.2680710966379915e6,633046.1413999021
2.020018698e6,466284.4844633322,813324.6930100615,1.2434566127349634e6,620758.1047916437
2.0283398899999994e6,467711.56621823646,815813.9047871674,1.2472622599399986e6,622657.959054598
2.0177047710000002e6,459525.0743577824,801534.4762385283,1.2254310650832823e6,611759.3953204075
2.003228292e6,474872.34309052763,828304.2124114343,1.2663581459298965e6,632191.0025681418
2.0149228569999998e6,469563.7492673617,819044.606772806,1.2522015391508027e6,625123.7448090294
2.1093178270000005e6,495589.8522345782,864441.0823394819,1.321606228598177e6,659771.9368277626
2.230532563e6,500429.16480015265,872882.1361122781,1.3345113871682305e6,666214.4469193388
2.165406157e6,492374.4969006487,858832.6437638417,1.3130317317288057e6,655491.3786067036
2.030889481e6,453733.616497509,791432.6267384127,1.209986788437403e6,604049.3073266761
1.897628957e6,446747.5792901277,779247.1117655309,1.191356886624717e6,594748.8923196248
1.7748788479999993e6,458239.9076498842,799292.8022111986,1.2220038675361834e6,610048.4706027334
1.69611782e6,433031.052578651,755321.8252752115,1.154778560706856e6,576488.2694392814
1.5813608590000002e6,405620.31502512144,707510.1771317767,1.0816814193552458e6,539996.7324878558
1.4591638680000002e6,386303.20915201434,673815.9845785538,1.0301678394760825e6,514280.13579334924
1.4375998639999998e6,376884.62841781875,657387.4639233005,1.0050509915286474e6,501741.30913023284
1.4263298299999996e6,368149.5916927963,642151.2266056741,981756.9735200639,490112.47518146626
1.4224135139999997e6,375209.01112016704,654464.7397717913,1.0005825661818848e6,499510.5829261568
1.3841087699999998e6,374926.46026564547,653971.8956076156,999829.0782572475,499134.4268694913
1.4590757980000004e6,387593.27953713504,676066.2119288105,1.0336081138251597e6,515997.588708895
1.678173911e6,432657.7133929611,754670.6220104508,1.1537829644674198e6,575991.2481291684
1.8428592140000004e6,495207.54087097367,863774.2291998243,1.3205867059482974e6,659262.9709809049
1.9580257369999997e6,501423.2492755875,874616.0849734321,1.3371623458764516e6,667537.8578745284
2.000656485e6,505784.47778438,882223.2324472386,1.3487925815149974e6,673343.9012533837
2.032564972e6,499353.7668198857,871006.354778548,1.3316435869852074e6,664782.7844163592
2.0367162659999996e6,489229.8559976396,853347.5500446921,1.3046458114251867e6,651304.9615324812
2.0198218629999992e6,482662.1388544784,841891.6970038463,1.2871314578827647e6,642561.4502589104
1.9932703590000006e6,475964.4843505203,830209.198497406,1.2692705959835188e6,633644.9551685549
1.950796358e6,457443.6214834346,797903.8664360335,1.2198803842715824e6,608988.3858089496
1.929369112e6,449386.4407867768,783849.991098152,1.1983940278709594e6,598261.9722441111
